country1:STRING|country2:STRING
Philippines|Taiwan
India|Chile
Germany|Japan
Brazil|Niger
Indonesia|Russia
Pakistan|Vietnam
Pakistan|France
Germany|Poland
India|Algeria
Germany|Vietnam
India|Canada
Indonesia|Philippines
China|Canada
Pakistan|Sri_Lanka
Brazil|Portugal
India|Romania
China|Czech_Republic
Indonesia|Kazakhstan
Germany|Moldova
Pakistan|Philippines
Indonesia|France
China|Romania
China|Democratic_Republic_of_the_Congo
Germany|Egypt
Brazil|Germany
Argentina|Chile
Pakistan|Iran
China|Chile
Germany|Czech_Republic
China|Algeria
Mexico|Pakistan
Philippines|United_States
Russia|Romania
Brazil|Indonesia
Indonesia|United_States
Mexico|Philippines
Germany|Philippines
Japan|Pakistan
Brazil|Pakistan
Vietnam|Burma
Philippines|Russia
Pakistan|Afghanistan
Russia|Iran
Brazil|Russia
India|Belarus
Brazil|Philippines
Brazil|Morocco
Germany|United_States
Russia|Afghanistan
China|Madagascar
