tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Diosdado_Macapagal|2012-10-07|Thailand|2012-12-14|5
Diosdado_Macapagal|2012-10-08|Thailand|2012-12-14|6
Bobby_Hull|2012-06-21|Franz_Joseph_I_of_Austria|2012-11-30|3
Bobby_Hull|2012-06-22|Franz_Joseph_I_of_Austria|2012-11-30|4
Siad_Barre|2010-06-16|John_Wayne|2012-12-20|5
Rubén_Blades|2010-06-03|Czechoslovakia|2012-12-05|5
Alexander_Downer|2012-01-30|Antonio_Vivaldi|2012-12-02|6
Mariano_Rivera|2011-10-12|Jack_Kerouac|2012-12-26|5
Mariano_Rivera|2011-10-13|Jack_Kerouac|2012-12-26|6
Vinicius_de_Moraes|2012-05-19|Mick_Jagger|2012-12-13|3
Vinicius_de_Moraes|2012-05-20|Mick_Jagger|2012-12-13|4
Shapur_II|2010-10-11|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|4
Shapur_II|2010-10-12|Arthur_Wellesley,_1st_Duke_of_Wellington|2012-12-18|5
Enrique_Iglesias|2012-04-27|Bulgaria|2011-02-02|6
Enrique_Iglesias|2012-04-28|Bulgaria|2011-02-02|3
Paula_Abdul|2010-05-27|Ralph_Waldo_Emerson|2012-12-28|5
Haile_Selassie_I|2010-08-29|Bertolt_Brecht|2012-12-28|3
Haile_Selassie_I|2010-08-30|Bertolt_Brecht|2012-12-28|4
Francis_I_of_the_Two_Sicilies|2012-10-04|Rumi|2012-11-29|3
Toru_Takemitsu|2011-10-04|Aleister_Crowley|2012-12-31|6
Toru_Takemitsu|2011-10-05|Aleister_Crowley|2012-12-31|3
Haile_Selassie_I|2010-08-29|Franz_Joseph_I_of_Austria|2012-11-30|3
Haile_Selassie_I|2010-08-30|Franz_Joseph_I_of_Austria|2012-11-30|4
Chulalongkorn|2010-12-30|Mick_Jagger|2012-12-13|3
Paradorn_Srichaphan|2012-02-20|Lucille_Ball|2012-12-30|3
Paradorn_Srichaphan|2012-02-21|Lucille_Ball|2012-12-30|4
Paradorn_Srichaphan|2012-02-22|Lucille_Ball|2012-12-30|5
Slavoj_Žižek|2011-01-15|Nelson_Mandela|2012-11-24|3
Slavoj_Žižek|2012-06-15|Nelson_Mandela|2012-11-24|3
Alejandro_Falla|2012-05-03|Belize|2012-12-29|3
Alexander_Downer|2012-01-30|Henry_II_of_England|2012-09-21|6
Léopold_Sédar_Senghor|2010-10-05|Nicolas_Sarkozy|2012-12-26|6
Gil_Kane|2011-04-13|Bing_Crosby|2012-12-11|4
Gil_Kane|2011-04-14|Bing_Crosby|2012-12-11|5
Chulalongkorn|2010-12-30|Alfred_Hitchcock|2012-12-20|6
Joe_Strummer|2011-10-22|Thomas_Jefferson|2012-12-11|4
Joe_Strummer|2011-10-23|Thomas_Jefferson|2012-12-11|5
Vinicius_de_Moraes|2012-05-19|New_Zealand|2012-12-05|3
Vinicius_de_Moraes|2012-05-20|New_Zealand|2012-12-05|4
Kateryna_Bondarenko|2011-09-18|Michael_Jackson|2012-10-31|5
David_Hockney|2011-06-14|Lucille_Ball|2012-12-30|5
David_Hockney|2011-06-15|Lucille_Ball|2012-12-30|6
Kateryna_Bondarenko|2011-09-18|Czech_Republic|2012-06-03|3
Luiz_Inácio_Lula_da_Silva|2010-04-07|Desiderius_Erasmus|2012-11-23|4
John_Rhys-Davies|2012-04-20|Michelangelo|2012-12-26|3
John_Rhys-Davies|2012-04-21|Michelangelo|2012-12-26|4
Luís_Figo|2010-09-30|Roger_Ebert|2012-12-25|4
Imelda_Marcos|2012-05-07|Kuwait|2012-12-05|3
Imelda_Marcos|2012-05-08|Kuwait|2012-12-05|4
Imelda_Marcos|2012-05-09|Kuwait|2012-12-05|5
Kateryna_Bondarenko|2011-09-18|Isaac_Asimov|2012-12-27|6
Bobby_Hull|2012-06-21|Republic_of_Ireland|2012-12-16|3
Bobby_Hull|2012-06-22|Republic_of_Ireland|2012-12-16|4
Siad_Barre|2010-06-16|Mohammad_Reza_Pahlavi|2012-12-15|4
Alejandro_Falla|2012-05-03|Thailand|2012-12-14|4
Ehud_Olmert|2012-08-04|Imelda_Marcos|2012-08-24|5
Ehud_Olmert|2012-08-05|Imelda_Marcos|2012-08-24|6
Luís_Figo|2010-09-30|14th_Dalai_Lama|2012-12-25|4
Jawaharlal_Nehru|2011-04-20|Katharine_Hepburn|2011-10-12|6
Toru_Takemitsu|2011-10-04|Henry_II_of_England|2012-09-21|5
Toru_Takemitsu|2011-10-05|Henry_II_of_England|2012-09-21|6
Sonia_Gandhi|2010-09-14|Mick_Jagger|2012-12-13|4
