personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
926|Slovenia|ComicsCharacter|3|4
2199023259494|Singapore|SnookerChamp|3|4
6597069772091|Dominican_Republic|SnookerChamp|3|4
4398046513033|Croatia|CollegeCoach|3|4
4398046515627|Finland|SnookerChamp|3|4
4398046519737|Uruguay|Chancellor|3|4
3955|Slovenia|SnookerChamp|3|4
3955|Scotland|Model|3|4
4618|Nicaragua|Athlete|3|4
8317|Croatia|Chancellor|3|4
4398046519225|Swaziland|Band|3|4
4398046518680|Finland|Wrestler|3|4
6597069770287|Bosnia_and_Herzegovina|Criminal|3|4
4398046513033|Dominican_Republic|Company|3|4
8600|Azerbaijan|Cyclist|3|4
4398046513116|Uruguay|Model|3|4
7861|Azerbaijan|Chancellor|3|4
6597069770218|Honduras|CollegeCoach|3|4
4398046512500|Papua_New_Guinea|Cyclist|3|4
4618|Jordan|Athlete|3|4
4398046519642|Scotland|Model|3|4
6597069770240|Bolivia|Athlete|3|4
3955|Scotland|ComicsCharacter|3|4
4398046515627|Swaziland|Chancellor|3|4
6597069767542|Jordan|Model|3|4
2199023261954|Dominican_Republic|SnookerChamp|3|4
4398046513116|Swaziland|Wrestler|3|4
1093|Croatia|Chancellor|3|4
4398046513909|Bolivia|Criminal|3|4
2199023261954|Croatia|Chancellor|3|4
4398046514739|Jordan|Cyclist|3|4
4398046513033|Laos|Cyclist|3|4
4934|Dominican_Republic|SnookerPlayer|3|4
10192|Finland|Cyclist|3|4
7861|Oman|Model|3|4
4398046519642|Wales|SnookerPlayer|3|4
5155|Bolivia|Cyclist|3|4
7861|Honduras|Astronaut|3|4
2199023257807|Austria|Wrestler|3|4
6597069768541|Uruguay|Model|3|4
6597069772091|Bolivia|MemberOfParliament|3|4
6597069770240|Slovenia|Company|3|4
2199023261845|Slovenia|MemberOfParliament|3|4
5155|Austria|Wrestler|3|4
2199023259494|Finland|Wrestler|3|4
6597069768935|Honduras|Model|3|4
4676|Finland|Criminal|3|4
2199023257807|Wales|SnookerPlayer|3|4
4676|Nicaragua|Model|3|4
4398046516629|Austria|Athlete|3|4
4618|Singapore|Chancellor|3|4
4398046512000|Singapore|Band|3|4
926|Swaziland|MartialArtist|3|4
4398046513033|Singapore|Athlete|3|4
4398046519737|Bolivia|Criminal|3|4
2199023261954|Nicaragua|SnookerChamp|3|4
8317|Croatia|Astronaut|3|4
8027|Nicaragua|SnookerPlayer|3|4
2199023256330|Nicaragua|MartialArtist|3|4
4398046518680|Israel|Wrestler|3|4
6597069769236|Bolivia|Model|3|4
8027|Nicaragua|Chancellor|3|4
4398046515627|Finland|SnookerPlayer|3|4
4398046514110|Jordan|ComicsCharacter|3|4
4398046514110|Nicaragua|Cyclist|3|4
4398046519642|Honduras|Criminal|3|4
4676|Papua_New_Guinea|Wrestler|3|4
4398046518680|Wales|Criminal|3|4
2199023256330|Dominican_Republic|Wrestler|3|4
7861|Honduras|MemberOfParliament|3|4
4398046518680|Nicaragua|ComicsCharacter|3|4
2199023257807|Singapore|Cyclist|3|4
4398046519642|Croatia|Band|3|4
8317|Slovenia|Model|3|4
2199023261954|Scotland|MemberOfParliament|3|4
6597069770960|Azerbaijan|SnookerPlayer|3|4
4398046519225|Croatia|Company|3|4
8600|Oman|MemberOfParliament|3|4
4398046518680|Papua_New_Guinea|Astronaut|3|4
8317|Dominican_Republic|SnookerChamp|3|4
4398046515283|Bolivia|Criminal|3|4
6597069770960|Bolivia|Band|3|4
4398046519225|Jordan|SnookerChamp|3|4
2199023261845|Austria|ComicsCharacter|3|4
2199023264379|Bosnia_and_Herzegovina|Cyclist|3|4
4398046519225|Oman|Chancellor|3|4
6597069770240|Laos|MartialArtist|3|4
4618|Bosnia_and_Herzegovina|CollegeCoach|3|4
4398046515627|Israel|Athlete|3|4
3955|Bolivia|Company|3|4
1093|Singapore|SnookerChamp|3|4
2199023264379|Wales|Criminal|3|4
4398046514110|Finland|Company|3|4
6597069768330|Scotland|ComicsCharacter|3|4
2199023261954|Laos|MartialArtist|3|4
4398046512500|Singapore|Criminal|3|4
2199023265851|Bosnia_and_Herzegovina|MartialArtist|3|4
6597069768935|Azerbaijan|ComicsCharacter|3|4
6597069772769|Papua_New_Guinea|Company|3|4
4398046513033|Uruguay|SnookerPlayer|3|4
4398046519642|Swaziland|SnookerChamp|3|4
4398046515283|Honduras|Cyclist|3|4
6597069769236|Slovenia|MartialArtist|3|4
8027|Israel|Astronaut|3|4
4676|Wales|Company|3|4
6597069770287|Wales|Band|3|4
6597069773431|Honduras|MartialArtist|3|4
4398046517886|Oman|Astronaut|3|4
2199023261954|Laos|Model|3|4
4398046513116|Honduras|Band|3|4
4398046512500|Oman|SnookerChamp|3|4
4398046517886|Austria|Band|3|4
4398046517886|Azerbaijan|MemberOfParliament|3|4
2199023262470|Bolivia|Model|3|4
4398046513909|Swaziland|Band|3|4
6597069769236|Honduras|Wrestler|3|4
6597069767542|Swaziland|CollegeCoach|3|4
6597069770960|Wales|Model|3|4
2199023265851|Scotland|CollegeCoach|3|4
4398046514739|Singapore|SnookerPlayer|3|4
6597069772091|Azerbaijan|Company|3|4
4398046516629|Dominican_Republic|CollegeCoach|3|4
4618|Nicaragua|CollegeCoach|3|4
4676|Israel|MemberOfParliament|3|4
2199023256330|Croatia|Cyclist|3|4
6597069768541|Singapore|MemberOfParliament|3|4
2199023256330|Dominican_Republic|Criminal|3|4
6597069773431|Austria|CollegeCoach|3|4
4398046519737|Papua_New_Guinea|Wrestler|3|4
10509|Bosnia_and_Herzegovina|Wrestler|3|4
3955|Papua_New_Guinea|MartialArtist|3|4
4398046515283|Bolivia|ComicsCharacter|3|4
5155|Nicaragua|Band|3|4
4676|Slovenia|Company|3|4
6597069772091|Nicaragua|Band|3|4
4398046513909|Wales|Band|3|4
4398046519737|Nicaragua|ComicsCharacter|3|4
2199023265851|Oman|Cyclist|3|4
4398046519737|Dominican_Republic|Band|3|4
4398046513033|Jordan|Criminal|3|4
6597069768330|Oman|Chancellor|3|4
8317|Croatia|Athlete|3|4
4398046512000|Swaziland|Model|3|4
4398046513116|Azerbaijan|Astronaut|3|4
2199023261845|Israel|ComicsCharacter|3|4
4934|Azerbaijan|Company|3|4
1093|Jordan|Wrestler|3|4
4398046514739|Nicaragua|Model|3|4
6597069769236|Singapore|SnookerChamp|3|4
3955|Oman|Company|3|4
4398046512000|Israel|SnookerChamp|3|4
6597069768638|Nicaragua|Criminal|3|4
6597069767542|Finland|ComicsCharacter|3|4
4398046512500|Bolivia|Model|3|4
8027|Wales|Cyclist|3|4
2199023261845|Austria|Chancellor|3|4
6597069773431|Dominican_Republic|Cyclist|3|4
2199023262470|Laos|Athlete|3|4
10192|Uruguay|SnookerPlayer|3|4
4758|Finland|Criminal|3|4
4398046519225|Laos|Band|3|4
4398046519737|Uruguay|SnookerPlayer|3|4
2199023256330|Croatia|SnookerPlayer|3|4
7861|Israel|SnookerChamp|3|4
4398046519225|Scotland|Astronaut|3|4
4398046519642|Israel|SnookerPlayer|3|4
2199023261954|Israel|Criminal|3|4
4398046515627|Swaziland|Criminal|3|4
6597069768541|Austria|Wrestler|3|4
1093|Papua_New_Guinea|Criminal|3|4
4398046516629|Oman|Cyclist|3|4
2199023262470|Oman|Astronaut|3|4
6597069770287|Scotland|Chancellor|3|4
6597069769236|Croatia|Astronaut|3|4
5155|Nicaragua|SnookerPlayer|3|4
8600|Nicaragua|MartialArtist|3|4
4758|Finland|Band|3|4
2199023256330|Jordan|SnookerChamp|3|4
4398046514739|Israel|SnookerChamp|3|4
4934|Laos|Company|3|4
1093|Azerbaijan|Company|3|4
4934|Nicaragua|Cyclist|3|4
6597069770960|Swaziland|SnookerChamp|3|4
6597069768638|Oman|Astronaut|3|4
6597069770218|Scotland|SnookerPlayer|3|4
4618|Uruguay|CollegeCoach|3|4
2199023259494|Scotland|Band|3|4
4398046519642|Scotland|Band|3|4
4398046519225|Austria|Company|3|4
4398046512500|Croatia|SnookerChamp|3|4
4398046512000|Scotland|ComicsCharacter|3|4
4398046514110|Bosnia_and_Herzegovina|Company|3|4
4398046512500|Slovenia|Cyclist|3|4
6597069767542|Uruguay|Astronaut|3|4
4398046517886|Nicaragua|Athlete|3|4
6597069768638|Croatia|MartialArtist|3|4
4398046516629|Dominican_Republic|Astronaut|3|4
6597069773431|Bosnia_and_Herzegovina|Wrestler|3|4
8600|Uruguay|CollegeCoach|3|4
4398046513033|Honduras|SnookerPlayer|3|4
8600|Austria|Band|3|4
10509|Honduras|MartialArtist|3|4
6597069767542|Jordan|Band|3|4
2199023265851|Scotland|MartialArtist|3|4
6597069772091|Austria|Band|3|4
8027|Singapore|Chancellor|3|4
6597069768638|Jordan|Company|3|4
926|Austria|MemberOfParliament|3|4
4398046514110|Laos|Athlete|3|4
4618|Croatia|Athlete|3|4
