startDate:DATE|lengthThreshold:INT|languages:STRING[]
2012-05-25|135|es;ta;pt
2012-05-25|135|zh;ru;fr
2012-05-25|135|ru;de;pt
2012-05-25|135|ur;de;es
2012-06-18|95|es;ta;pt
2012-06-18|95|zh;ru;fr
2012-06-18|95|ru;de;pt
2012-06-18|95|ur;de;es
2012-06-15|100|es;ta;pt
2012-06-15|100|zh;ru;fr
2012-06-15|100|ru;de;pt
2012-06-15|100|ur;de;es
2012-06-21|90|es;ta;pt
2012-06-21|90|zh;ru;fr
2012-06-21|90|ru;de;pt
2012-06-21|90|ur;de;es
2012-06-09|110|es;ta;pt
2012-06-09|110|zh;ru;fr
2012-06-09|110|ru;de;pt
2012-06-09|110|ur;de;es
2012-07-09|60|es;ta;pt
2012-07-09|60|zh;ru;fr
2012-07-09|60|ru;de;pt
2012-07-09|60|ur;de;es
2012-06-27|80|es;ta;pt
2012-06-27|80|zh;ru;fr
2012-06-27|80|ru;de;pt
2012-06-27|80|ur;de;es
2012-05-31|125|es;ta;pt
2012-05-31|125|zh;ru;fr
2012-05-31|125|ru;de;pt
2012-05-31|125|ur;de;es
2012-07-06|65|es;ta;pt
2012-07-06|65|zh;ru;fr
2012-07-06|65|ru;de;pt
2012-07-06|65|ur;de;es
2012-06-12|105|es;ta;pt
2012-06-12|105|zh;ru;fr
2012-06-12|105|ru;de;pt
2012-06-12|105|ur;de;es
2012-07-15|50|es;ta;pt
2012-07-15|50|zh;ru;fr
2012-07-15|50|ru;de;pt
2012-07-15|50|ur;de;es
2012-06-03|120|es;ta;pt
2012-06-03|120|zh;ru;fr
2012-06-03|120|ru;de;pt
2012-06-03|120|ur;de;es
2012-05-19|145|es;ta;pt
2012-05-19|145|zh;ru;fr
2012-05-19|145|ru;de;pt
2012-05-19|145|ur;de;es
2012-05-22|140|es;ta;pt
2012-05-22|140|zh;ru;fr
2012-05-22|140|ru;de;pt
2012-05-22|140|ur;de;es
2012-05-28|130|es;ta;pt
2012-05-28|130|zh;ru;fr
2012-05-28|130|ru;de;pt
2012-05-28|130|ur;de;es
2012-06-30|75|es;ta;pt
2012-06-30|75|zh;ru;fr
2012-06-30|75|ru;de;pt
2012-06-30|75|ur;de;es
2012-06-06|115|es;ta;pt
2012-06-06|115|zh;ru;fr
2012-06-06|115|ru;de;pt
2012-06-06|115|ur;de;es
2012-07-12|55|es;ta;pt
2012-07-12|55|zh;ru;fr
2012-07-12|55|ru;de;pt
2012-07-12|55|ur;de;es
2012-06-24|85|es;ta;pt
2012-06-24|85|zh;ru;fr
2012-06-24|85|ru;de;pt
2012-06-24|85|ur;de;es
2012-07-03|70|es;ta;pt
2012-07-03|70|zh;ru;fr
2012-07-03|70|ru;de;pt
2012-07-03|70|ur;de;es
