person1Id:ID|person2Id:ID|startDate:DATE|endDate:DATE
1450|15393162796819|2012-11-06|2012-11-10
396|21990232559100|2012-11-03|2012-11-08
396|4398046518680|2012-11-03|2012-11-10
3388|4398046511737|2012-11-07|2012-11-11
2975|10995116280033|2012-11-07|2012-11-11
396|13194139543364|2012-11-03|2012-11-10
396|24189255816872|2012-11-03|2012-11-13
1450|6597069773431|2012-11-06|2012-11-11
3388|8796093023042|2012-11-07|2012-11-10
3388|8796093027317|2012-11-07|2012-11-08
396|10995116286273|2012-11-03|2012-11-07
1450|26388279073330|2012-11-06|2012-11-13
396|4676|2012-11-03|2012-11-07
396|15393162790653|2012-11-03|2012-11-11
396|10995116282237|2012-11-03|2012-11-10
3388|4934|2012-11-07|2012-11-13
1450|21990232556222|2012-11-06|2012-11-07
396|4398046513385|2012-11-03|2012-11-07
396|19791209308116|2012-11-03|2012-11-08
1450|32985348834784|2012-11-06|2012-11-10
1450|30786325587975|2012-11-06|2012-11-13
2756|2199023261185|2012-11-02|2012-11-09
3388|17592186053259|2012-11-07|2012-11-13
1450|10995116286977|2012-11-06|2012-11-11
3388|17592186046318|2012-11-07|2012-11-09
1450|15393162792804|2012-11-06|2012-11-13
3388|17592186051628|2012-11-07|2012-11-13
396|8796093023873|2012-11-03|2012-11-08
396|13194139533738|2012-11-03|2012-11-09
396|6597069773920|2012-11-03|2012-11-10
396|10995116278256|2012-11-03|2012-11-12
396|24189255819781|2012-11-03|2012-11-10
396|17592186045209|2012-11-03|2012-11-13
396|6597069769453|2012-11-03|2012-11-09
2975|30786325587872|2012-11-07|2012-11-08
396|6597069768541|2012-11-03|2012-11-07
396|32985348834129|2012-11-03|2012-11-13
3388|4340|2012-11-07|2012-11-07
1450|15393162798002|2012-11-06|2012-11-10
396|15393162794469|2012-11-03|2012-11-12
2756|19791209303042|2012-11-02|2012-11-09
1450|2199023264242|2012-11-06|2012-11-07
396|2199023261007|2012-11-03|2012-11-13
1450|5155|2012-11-06|2012-11-10
396|37383395354392|2012-11-03|2012-11-10
2756|6597069771817|2012-11-02|2012-11-07
3388|8796093022968|2012-11-07|2012-11-13
3388|15393162790332|2012-11-07|2012-11-12
3388|8796093023774|2012-11-07|2012-11-07
396|30786325577912|2012-11-03|2012-11-09
1450|24189255817147|2012-11-06|2012-11-08
396|19791209301584|2012-11-03|2012-11-07
3388|8796093030611|2012-11-07|2012-11-12
1450|13194139537189|2012-11-06|2012-11-09
396|32985348836552|2012-11-03|2012-11-07
1450|15393162792434|2012-11-06|2012-11-07
1450|15393162793810|2012-11-06|2012-11-11
1450|6597069772091|2012-11-06|2012-11-08
1450|19791209303042|2012-11-06|2012-11-09
