country1:STRING|country2:STRING
Azerbaijan|South_Korea
Austria|Spain
Azerbaijan|Taiwan
Azerbaijan|Honduras
Belgium|Turkey
Austria|France
Azerbaijan|Belgium
Angola|Hungary
Austria|Morocco
Belgium|Peru
Azerbaijan|Portugal
Austria|Oman
Azerbaijan|Slovenia
Austria|Venezuela
Azerbaijan|Poland
Azerbaijan|Sri_Lanka
Azerbaijan|Northern_Ireland
Azerbaijan|Indonesia
Austria|Bosnia_and_Herzegovina
Austria|Azerbaijan
Azerbaijan|Greece
Bolivia|Algeria
Belgium|Ukraine
Austria|Australia
Bolivia|Egypt
Angola|Vietnam
Belgium|Sri_Lanka
Azerbaijan|Bulgaria
Azerbaijan|Czech_Republic
Azerbaijan|Thailand
Azerbaijan|Democratic_Republic_of_the_Congo
Austria|Kazakhstan
Austria|Colombia
Azerbaijan|Canada
Azerbaijan|Ethiopia
Bolivia|Afghanistan
Azerbaijan|Senegal
Azerbaijan|Netherlands
Angola|Wales
Angola|Brazil
Azerbaijan|Bosnia_and_Herzegovina
Austria|Cuba
Austria|Malaysia
Austria|Canada
Bolivia|Canada
Azerbaijan|United_Kingdom
Austria|South_Korea
Bolivia|Burma
Afghanistan|Zambia
Austria|Yemen
