tagA:STRING|dateA:DATE|tagB:STRING|dateB:DATE|maxKnowsLimit:INT
Jeff_Kennett|2012-12-24|Ralph_Bakshi|2010-05-12|6
Big_Poppa|2012-12-29|East_Germany|2010-02-25|3
Gin_and_Juice|2012-12-21|Slovenia|2010-03-13|3
J.E._Heartbreak|2012-12-31|Right_on_the_Money|2011-10-04|6
No_Way_to_Say|2012-12-31|Apagorevmeno|2011-02-15|3
Imperial_Bedroom|2012-12-27|Back_for_the_Attack|2010-06-09|5
Party_in_the_U.S.A.|2012-12-29|Right_on_the_Money|2011-10-04|4
All_by_Myself|2012-12-31|Slovenia|2010-03-13|5
Rani_Mukerji|2012-12-19|Catfights_and_Spotlights|2010-07-22|4
The_Best_of_David_Bowie_1969/1974|2012-12-25|Pieces_of_a_Man|2010-01-31|6
Ralph_Bakshi|2012-12-25|Something_to_Remember|2010-06-16|6
Aga_Khan_IV|2012-12-27|Seventh_Star|2010-02-24|4
Catfights_and_Spotlights|2012-12-28|Jacques_Chirac|2010-02-23|4
East_Germany|2012-12-03|Disco_Duck|2010-06-09|5
The_Heroin_Diaries_Soundtrack|2012-12-31|Sans_logique|2011-10-23|5
After_the_Heat|2012-12-29|Preflyte|2010-04-06|3
J.E._Heartbreak|2012-12-31|Republic_of_New_Granada|2010-03-13|5
Jerry_Lee_Lewis|2012-11-05|Lovesexy|2010-12-30|5
Jeff_Kennett|2012-12-24|Disco_Duck|2010-06-09|6
Aga_Khan_IV|2012-12-27|Something_in_Common|2010-02-25|5
J.E._Heartbreak|2012-12-31|William_Blake|2010-02-25|5
Black_Tie_White_Noise|2012-12-30|Arma-Goddamn-Motherfuckin-Geddon|2010-12-30|4
Transatlanticism|2012-12-27|Preflyte|2010-04-06|5
Catfights_and_Spotlights|2012-12-28|Going_to_a_Go-Go|2010-07-26|5
Meaty_Beaty_Big_and_Bouncy|2012-12-30|Rani_Mukerji|2011-08-12|4
Black_Tie_White_Noise|2012-12-30|Shepherd_Moons|2010-06-07|6
Locked_Out|2012-12-23|Bulgaria|2010-02-24|4
Locked_Out|2012-12-23|Thirteenth_Step|2010-10-12|6
J.E._Heartbreak|2012-12-31|Share_My_World|2010-07-24|6
Ooo_Baby_Baby|2012-12-25|Something_in_Common|2010-02-25|3
Party_in_the_U.S.A.|2012-12-29|Aga_Khan_IV|2010-09-04|6
Furthermore:_From_the_Studio,_From_the_Stage|2012-01-30|Elvis_Presley|2010-02-27|3
Right_on_the_Money|2012-11-24|Rivers_of_Babylon|2010-05-03|3
Black_Tie_White_Noise|2012-12-30|Cosmic_Egg|2010-06-16|3
Rub_It_In|2012-11-18|Nightflight_to_Venus|2010-06-23|4
Gold_Cobra|2012-12-26|Ebeneezer_Goode|2010-04-30|4
Linda_Ronstadt|2012-11-28|Jacques_Chirac|2010-02-23|6
J.E._Heartbreak|2012-12-31|Rub_It_In|2012-01-30|3
Something_to_Remember|2012-12-31|Bulgaria|2010-02-24|4
Apagorevmeno|2012-12-31|Elvis_Presley|2010-02-27|3
Rub_It_In|2012-11-18|Voices_in_the_Wilderness|2011-11-29|3
Shepherd_Moons|2012-12-29|East_Germany|2010-02-25|3
MantaRay|2012-12-29|Jerry_Lee_Lewis|2010-01-19|6
Meaty_Beaty_Big_and_Bouncy|2012-12-30|Jerry_Lee_Lewis|2010-01-19|3
Sikh_Empire|2012-12-14|Untitled_Korn_album|2010-07-16|5
Here_Comes_the_Rain_Again|2012-12-30|Wasting_Light|2010-05-26|6
Gin_and_Juice|2012-12-21|Pieces_of_a_Man|2010-01-31|6
WOW_Hits_2008|2012-12-31|Ramakrishna|2012-10-25|4
Relationship_of_Command|2012-12-28|From_Yesterday|2010-07-06|5
Ramakrishna|2012-12-22|Party_in_the_U.S.A.|2010-04-06|4
Space_Ritual|2012-12-29|East_Germany|2010-02-25|3
Aga_Khan_IV|2012-12-27|Party_in_the_U.S.A.|2010-04-06|5
