tag:STRING|delta:INT
Cosmic_Egg|12
MantaRay|13
The_Archives_Vol._1_1963–1972|10
Kissin_U|12
Change_Clothes|12
Love_It_When_You_Call|12
Drastic_Measures|16
Take_Me_on_the_Floor|13
The_Roof_Is_on_Fire|10
The_Dangermen_Sessions_Vol._1|10
Lean_into_It|16
Check_Yo_Self|10
Everyway_That_I_Can|11
Wang_Dang_Doodle|15
Brighten_the_Corners|9
Diego_Rivera|11
He_Said_She_Said|12
Heart_On|9
Cualquier_Día|13
How_I_Could_Just_Kill_a_Man|9
Nothing_in_This_World|12
Indian_Outlaw|11
Little_T&A|12
Year_of_the_Dog..._Again|9
Hendrix_in_the_West|8
Identified|13
Me_and_Mr._Johnson|13
The_Matrix_Reloaded:_The_Album|16
Metal_Massacre|13
Jeanny|9
Balls_to_the_Wall|16
If_Your_Girl_Only_Knew|10
II_Trill|12
Please_Remember_Me|11
Hickory_Wind|10
Give_Me_Convenience_or_Give_Me_Death|13
In_the_Spirit_of_Things|12
Hannah_Montana_Forever|12
Cheap_Trick_at_Budokan|8
Accident_of_Birth|10
Attack_of_the_Grey_Lantern|16
I_Am_the_Night|8
A_Legal_Matter|10
Road_to_Nowhere|13
Conspiracy_of_One|15
Hyæna|8
Brand_New_Man|16
On_Top_of_Our_Game|12
¿Dónde_Estás_Corazón?|13
Catch_You|12
Flick_of_the_Switch|16
Oracular_Spectacular|10
Say_What_You_Want|15
I._M._Pei|15
Intensities_in_10_Cities|14
Slave_to_the_Grind|12
Bang_Bang_Bang|12
The_Slider|13
Lovelight|14
Hope_Is_Important|12
The_Stability_EP|10
Colby_O|12
Butchered_at_Birth|16
Fool_in_the_Rain|12
Terry_Wogan|11
Labour_of_Lust|8
Desolation_Boulevard|16
Drive_Slow|13
Bigger_than_the_Devil|9
Laugh_Now,_Cry_Later|13
Little_Arrows|13
Aphex_Twin|15
Grave_Disorder|10
Alma_Caribeña|16
Hyper_Music/Feeling_Good|11
Morning_After_Dark|12
Doremi_Fasol_Latido|13
Hourly,_Daily|11
Cucumber_Castle|8
Grow_Old_with_Me|15
Language._Sex._Violence._Other?|12
Coming_Undone|11
Underdogs|11
Try_It_Baby|8
Dejarte_de_Amar|11
Cygnus_X-1_duology|11
Get_Close|11
All_My_Rowdy_Friends_Are_Coming_Over_Tonight|11
Mr._Soul|12
Lady_Samantha|14
Attak|14
Fate_of_Nations|15
Suga_Suga|12
A_White_Sport_Coat|16
Nothing_as_It_Seems|13
20_Years_of_Jethro_Tull|11
Face_Dances|16
Mario_Ančić|15
Pigs_on_the_Wing|14
Age_to_Age|9
Fun_Trick_Noisemaker|8
Try_Whistling_This|15
Chinese_Rocks|15
Fables_from_a_Mayfly:_What_I_Tell_You_Three_Times_Is_True|15
Lean_wit_It,_Rock_wit_It|10
Eli_and_the_Thirteenth_Confession|16
V_Deep|13
Las_Palabras_de_Amor|16
Comes_a_Time|9
George_Grey|13
MTV_Unplugged:_Korn|16
Heaven_Up_Here|14
