tag:STRING|startDate:DATE|endDate:DATE
Charles_de_Gaulle|2010-06-10|2010-06-21
Bosnia_and_Herzegovina|2010-06-24|2010-07-08
Charles_de_Gaulle|2010-06-14|2010-06-28
Arnold_Schwarzenegger|2010-06-22|2010-07-02
Charles_Gounod|2010-06-26|2010-07-09
Charlton_Heston|2010-06-12|2010-06-22
Charles_V,_Holy_Roman_Emperor|2010-06-24|2010-07-08
China|2010-06-26|2010-07-09
Brazil|2010-06-08|2010-06-20
Celine_Dion|2010-06-23|2010-07-05
Charles_de_Gaulle|2010-06-11|2010-06-24
Brazil|2010-06-10|2010-06-21
Bill_Clinton|2010-06-14|2010-06-28
China|2010-06-27|2010-07-07
David_Foster|2010-06-23|2010-07-05
Charles_Darwin|2010-06-08|2010-06-20
Bette_Davis|2010-06-24|2010-07-08
Alexander_Pope|2010-06-23|2010-07-05
Charles_Gounod|2010-06-24|2010-07-08
Barack_Obama|2010-06-12|2010-06-22
Cleopatra_VII|2010-06-27|2010-07-07
Edgar_Allan_Poe|2010-06-19|2010-07-03
Abbas_I_of_Persia|2010-06-14|2010-06-28
Alexander_Pope|2010-06-21|2010-07-04
Adam_Smith|2010-06-26|2010-07-09
Confucius|2010-06-27|2010-07-07
Adam_Smith|2010-06-24|2010-07-08
Charles_Gounod|2010-06-25|2010-07-06
Alexander_Pope|2010-06-25|2010-07-06
County_of_Edessa|2010-06-27|2010-07-07
Confucius|2010-06-21|2010-07-04
Alexander_Pope|2010-06-19|2010-07-03
Charlton_Heston|2010-06-09|2010-06-23
Edgar_Allan_Poe|2010-06-20|2010-07-01
Charles_de_Gaulle|2010-06-15|2010-06-26
Edgar_Allan_Poe|2010-06-15|2010-06-26
Chiang_Kai-shek|2010-06-24|2010-07-08
Arnold_Schwarzenegger|2010-06-17|2010-06-27
Abraham_Lincoln|2010-06-14|2010-06-28
China|2010-06-25|2010-07-06
Edgar_Allan_Poe|2010-06-14|2010-06-28
Edgar_Allan_Poe|2010-06-16|2010-06-29
Celine_Dion|2010-06-25|2010-07-06
Dante_Alighieri|2010-06-11|2010-06-24
Benito_Mussolini|2010-06-27|2010-07-07
Bryan_Adams|2010-06-14|2010-06-28
County_of_Edessa|2010-06-25|2010-07-06
Che_Guevara|2010-06-12|2010-06-22
Edgar_Allan_Poe|2010-06-21|2010-07-04
Dante_Alighieri|2010-06-16|2010-06-29
Barack_Obama|2010-06-24|2010-07-08
Adam_Smith|2010-06-25|2010-07-06
Bryan_Adams|2010-06-16|2010-06-29
Charles_Darwin|2010-06-13|2010-06-25
Alexander_Pope|2010-06-26|2010-07-09
Bill_Clinton|2010-06-13|2010-06-25
Abraham_Lincoln|2010-06-11|2010-06-24
County_of_Edessa|2010-06-24|2010-07-08
Charles_Gounod|2010-06-27|2010-07-07
Charles_Darwin|2010-06-16|2010-06-29
Celine_Dion|2010-06-27|2010-07-07
Bosnia_and_Herzegovina|2010-06-27|2010-07-07
Benito_Mussolini|2010-06-26|2010-07-09
Charlton_Heston|2010-06-08|2010-06-20
Abraham_Lincoln|2010-06-13|2010-06-25
Bryan_Adams|2010-06-24|2010-07-08
Confucius|2010-06-23|2010-07-05
Alexander_Pope|2010-06-22|2010-07-02
Charles_de_Gaulle|2010-06-13|2010-06-25
Celine_Dion|2010-06-09|2010-06-23
Che_Guevara|2010-06-13|2010-06-25
Celine_Dion|2010-06-11|2010-06-24
Edgar_Allan_Poe|2010-06-13|2010-06-25
Charlton_Heston|2010-06-11|2010-06-24
Barack_Obama|2010-06-15|2010-06-26
County_of_Edessa|2010-06-26|2010-07-09
Charles_de_Gaulle|2010-06-16|2010-06-29
China|2010-06-24|2010-07-08
Bette_Davis|2010-06-27|2010-07-07
Confucius|2010-06-24|2010-07-08
Bill_Clinton|2010-06-15|2010-06-26
Abbas_I_of_Persia|2010-06-09|2010-06-23
Abbas_I_of_Persia|2010-06-13|2010-06-25
Bosnia_and_Herzegovina|2010-06-26|2010-07-09
Alexander_Pope|2010-06-27|2010-07-07
Brazil|2010-06-09|2010-06-23
Barack_Obama|2010-06-16|2010-06-29
Charles_de_Gaulle|2010-06-12|2010-06-22
David_Foster|2010-06-24|2010-07-08
Barack_Obama|2010-06-09|2010-06-23
Charlton_Heston|2010-06-10|2010-06-21
Confucius|2010-06-25|2010-07-06
Barack_Obama|2010-06-14|2010-06-28
Bette_Davis|2010-06-26|2010-07-09
Bette_Davis|2010-06-25|2010-07-06
Charles_Darwin|2010-06-15|2010-06-26
Benito_Mussolini|2010-06-24|2010-07-08
Bryan_Adams|2010-06-15|2010-06-26
Abbas_I_of_Persia|2010-06-08|2010-06-20
Brazil|2010-06-12|2010-06-22
