tag:STRING|startDate:DATE|endDate:DATE
100_Years|2010-06-27|2010-07-07
1962–1966|2010-06-12|2010-06-22
200_km/h_in_the_Wrong_Lane|2010-06-26|2010-07-09
12_Memories|2010-06-10|2010-06-21
10,000_Days|2010-06-27|2010-07-07
1_Thing|2010-06-09|2010-06-23
1962–1966|2010-06-11|2010-06-24
12_Memories|2010-06-09|2010-06-23
10.000_Nights_of_Thunder|2010-06-11|2010-06-24
12_X_5|2010-06-08|2010-06-20
1919_Eternal|2010-06-11|2010-06-24
1_Thing|2010-06-08|2010-06-20
14th_Dalai_Lama|2010-06-18|2010-06-30
...Baby_One_More_Time|2010-06-13|2010-06-25
1919_Eternal|2010-06-10|2010-06-21
100th_Window|2010-06-24|2010-07-08
19th_Nervous_Breakdown|2010-06-24|2010-07-08
1919_Eternal|2010-06-16|2010-06-29
1969:_The_Velvet_Underground_Live|2010-06-26|2010-07-09
100_Years|2010-06-21|2010-07-04
1962–1966|2010-06-09|2010-06-23
10.000_Nights_of_Thunder|2010-06-12|2010-06-22
1_Thing|2010-06-16|2010-06-29
100_Years|2010-06-22|2010-07-02
19th_Nervous_Breakdown|2010-06-27|2010-07-07
1_Thing|2010-06-11|2010-06-24
1962–1966|2010-06-08|2010-06-20
1_Thing|2010-06-12|2010-06-22
100_Years|2010-06-23|2010-07-05
1962–1966|2010-06-10|2010-06-21
1919_Eternal|2010-06-15|2010-06-26
12_X_5|2010-06-13|2010-06-25
19th_Nervous_Breakdown|2010-06-26|2010-07-09
1919_Eternal|2010-06-14|2010-06-28
100_Years|2010-06-20|2010-07-01
1919_Eternal|2010-06-12|2010-06-22
1967–1970|2010-06-24|2010-07-08
10,000_Days|2010-06-25|2010-07-06
12_X_5|2010-06-09|2010-06-23
100_Years|2010-06-24|2010-07-08
12_X_5|2010-06-12|2010-06-22
1969:_The_Velvet_Underground_Live|2010-06-25|2010-07-06
1969:_The_Velvet_Underground_Live|2010-06-27|2010-07-07
1_Thing|2010-06-15|2010-06-26
12_X_5|2010-06-15|2010-06-26
100th_Window|2010-06-26|2010-07-09
10.000_Nights_of_Thunder|2010-06-16|2010-06-29
10.000_Nights_of_Thunder|2010-06-09|2010-06-23
100_Years|2010-06-18|2010-06-30
...All_This_Time|2010-06-24|2010-07-08
100_Years|2010-06-19|2010-07-03
10,000_Days|2010-06-24|2010-07-08
1962–1966|2010-06-14|2010-06-28
100th_Window|2010-06-27|2010-07-07
1_Thing|2010-06-10|2010-06-21
12_Memories|2010-06-14|2010-06-28
1_Thing|2010-06-13|2010-06-25
1969:_The_Velvet_Underground_Live|2010-06-24|2010-07-08
100th_Window|2010-06-25|2010-07-06
...Baby_One_More_Time|2010-06-08|2010-06-20
1919_Eternal|2010-06-09|2010-06-23
12_X_5|2010-06-16|2010-06-29
10.000_Nights_of_Thunder|2010-06-08|2010-06-20
12_Memories|2010-06-11|2010-06-24
...Baby_One_More_Time|2010-06-12|2010-06-22
12_X_5|2010-06-14|2010-06-28
1919_Eternal|2010-06-13|2010-06-25
...Baby_One_More_Time|2010-06-11|2010-06-24
1962–1966|2010-06-16|2010-06-29
...Baby_One_More_Time|2010-06-15|2010-06-26
10.000_Nights_of_Thunder|2010-06-13|2010-06-25
1962–1966|2010-06-13|2010-06-25
10.000_Nights_of_Thunder|2010-06-18|2010-06-30
...All_This_Time|2010-06-25|2010-07-06
1962–1966|2010-06-15|2010-06-26
10.000_Nights_of_Thunder|2010-06-17|2010-06-27
1967–1970|2010-06-27|2010-07-07
200_km/h_in_the_Wrong_Lane|2010-06-24|2010-07-08
10,000_Days|2010-06-26|2010-07-09
100_Years|2010-06-25|2010-07-06
1_Thing|2010-06-14|2010-06-28
...Baby_One_More_Time|2010-06-16|2010-06-29
12_X_5|2010-06-11|2010-06-24
12_Memories|2010-06-16|2010-06-29
12_X_5|2010-06-10|2010-06-21
1967–1970|2010-06-26|2010-07-09
10.000_Nights_of_Thunder|2010-06-10|2010-06-21
100_Years|2010-06-26|2010-07-09
...All_This_Time|2010-06-27|2010-07-07
...Baby_One_More_Time|2010-06-10|2010-06-21
...All_This_Time|2010-06-26|2010-07-09
...Baby_One_More_Time|2010-06-14|2010-06-28
...Baby_One_More_Time|2010-06-09|2010-06-23
12_Memories|2010-06-12|2010-06-22
12_Memories|2010-06-08|2010-06-20
12_Memories|2010-06-13|2010-06-25
10.000_Nights_of_Thunder|2010-06-15|2010-06-26
1919_Eternal|2010-06-08|2010-06-20
10.000_Nights_of_Thunder|2010-06-14|2010-06-28
12_Memories|2010-06-15|2010-06-26
